sample,wavelength,cm2_dmol-1,voltage
Alpha_0,250,0.117303,295.026
Alpha_0,249.9,0.145513,295.064
Alpha_0,249.8,0.163484,295.102
Alpha_0,249.7,0.181232,295.139
Alpha_0,249.6,0.235485,295.178
Alpha_0,249.5,0.246613,295.217
Alpha_0,249.4,0.270353,295.26
Alpha_0,249.3,0.285735,295.295
Alpha_0,249.2,0.338315,295.33
Alpha_0,249.1,0.395338,295.368
Alpha_0,249,0.436488,295.408
Alpha_0,248.9,0.426061,295.445
Alpha_0,248.8,0.438215,295.489
Alpha_0,248.7,0.430732,295.529
Alpha_0,248.6,0.431289,295.567
Alpha_0,248.5,0.462687,295.61
Alpha_0,248.4,0.443902,295.647
Alpha_0,248.3,0.461634,295.686
Alpha_0,248.2,0.449421,295.731
Alpha_0,248.1,0.423446,295.77
Alpha_0,248,0.414246,295.812
Alpha_0,247.9,0.394312,295.856
Alpha_0,247.8,0.386681,295.898
Alpha_0,247.7,0.371929,295.939
Alpha_0,247.6,0.32266,295.982
Alpha_0,247.5,0.341612,296.031
Alpha_0,247.4,0.334173,296.075
Alpha_0,247.3,0.293931,296.119
Alpha_0,247.2,0.223434,296.165
Alpha_0,247.1,0.242178,296.212
Alpha_0,247,0.201396,296.26
Alpha_0,246.9,0.224527,296.301
Alpha_0,246.8,0.194202,296.351
Alpha_0,246.7,0.238468,296.399
Alpha_0,246.6,0.195848,296.448
Alpha_0,246.5,0.184079,296.493
Alpha_0,246.4,0.199165,296.541
Alpha_0,246.3,0.187479,296.589
Alpha_0,246.2,0.121007,296.63
Alpha_0,246.1,0.0956947,296.672
Alpha_0,246,0.0782452,296.721
Alpha_0,245.9,0.144096,296.767
Alpha_0,245.8,0.125448,296.814
Alpha_0,245.7,0.152602,296.857
Alpha_0,245.6,0.134462,296.903
Alpha_0,245.5,0.151016,296.946
Alpha_0,245.4,0.129184,296.992
Alpha_0,245.3,0.146706,297.035
Alpha_0,245.2,0.19654,297.082
Alpha_0,245.1,0.170163,297.127
Alpha_0,245,0.144118,297.178
Alpha_0,244.9,0.150677,297.225
Alpha_0,244.8,0.141505,297.274
Alpha_0,244.7,0.166261,297.32
Alpha_0,244.6,0.163901,297.365
Alpha_0,244.5,0.154333,297.411
Alpha_0,244.4,0.155176,297.462
Alpha_0,244.3,0.1448,297.512
Alpha_0,244.2,0.0816269,297.561
Alpha_0,244.1,0.0956947,297.61
Alpha_0,244,0.0485348,297.659
Alpha_0,243.9,-0.0122707,297.706
Alpha_0,243.8,-0.004039,297.758
Alpha_0,243.7,0.082909,297.811
Alpha_0,243.6,0.120586,297.866
Alpha_0,243.5,0.163445,297.922
Alpha_0,243.4,0.145539,297.978
Alpha_0,243.3,0.15633,298.031
Alpha_0,243.2,0.107084,298.088
Alpha_0,243.1,0.0807697,298.141
Alpha_0,243,0.0412376,298.193
Alpha_0,242.9,0.0666107,298.246
Alpha_0,242.8,0.0974255,298.304
Alpha_0,242.7,0.0836346,298.366
Alpha_0,242.6,0.115877,298.43
Alpha_0,242.5,0.127982,298.494
Alpha_0,242.4,0.0512737,298.555
Alpha_0,242.3,-0.0202637,298.613
Alpha_0,242.2,-0.0287865,298.674
Alpha_0,242.1,-0.0133694,298.736
Alpha_0,242,-0.0380535,298.799
Alpha_0,241.9,-0.00887718,298.861
Alpha_0,241.8,-0.00173454,298.924
Alpha_0,241.7,0.0325954,298.989
Alpha_0,241.6,0.0298916,299.056
Alpha_0,241.5,0.0414459,299.12
Alpha_0,241.4,0.0932526,299.181
Alpha_0,241.3,0.126992,299.243
Alpha_0,241.2,0.0927013,299.307
Alpha_0,241.1,0.134529,299.372
Alpha_0,241,0.190168,299.436
Alpha_0,240.9,0.224885,299.499
Alpha_0,240.8,0.225644,299.564
Alpha_0,240.7,0.214619,299.63
Alpha_0,240.6,0.21205,299.699
Alpha_0,240.5,0.227798,299.767
Alpha_0,240.4,0.192015,299.837
Alpha_0,240.3,0.181622,299.907
Alpha_0,240.2,0.174005,299.977
Alpha_0,240.1,0.0960667,300.047
Alpha_0,240,0.0698692,300.118
Alpha_0,239.9,0.0789043,300.189
Alpha_0,239.8,0.102925,300.263
Alpha_0,239.7,0.088126,300.338
Alpha_0,239.6,0.0562431,300.414
Alpha_0,239.5,0.0907146,300.489
Alpha_0,239.4,0.0623363,300.568
Alpha_0,239.3,0.0887638,300.645
Alpha_0,239.2,0.0857819,300.722
Alpha_0,239.1,0.081424,300.799
Alpha_0,239,0.0677277,300.878
Alpha_0,238.9,0.0711044,300.957
Alpha_0,238.8,0.0967659,301.035
Alpha_0,238.7,0.0927834,301.119
Alpha_0,238.6,0.0740646,301.197
Alpha_0,238.5,0.0876221,301.271
Alpha_0,238.4,0.0652996,301.349
Alpha_0,238.3,0.0487053,301.427
Alpha_0,238.2,0.00259132,301.505
Alpha_0,238.1,-0.0325752,301.577
Alpha_0,238,-0.0959042,301.65
Alpha_0,237.9,-0.0966644,301.725
Alpha_0,237.8,-0.0873211,301.8
Alpha_0,237.7,-0.0489052,301.875
Alpha_0,237.6,-0.0550957,301.954
Alpha_0,237.5,-0.0480457,302.034
Alpha_0,237.4,-0.0671326,302.109
Alpha_0,237.3,-0.0419418,302.187
Alpha_0,237.2,-0.105014,302.27
Alpha_0,237.1,-0.0893162,302.35
Alpha_0,237,-0.110152,302.435
Alpha_0,236.9,-0.0694637,302.512
Alpha_0,236.8,-0.0697067,302.595
Alpha_0,236.7,-0.0387627,302.678
Alpha_0,236.6,0.00277328,302.764
Alpha_0,236.5,-0.0116138,302.848
Alpha_0,236.4,-0.060297,302.93
Alpha_0,236.3,-0.0572323,303.012
Alpha_0,236.2,-0.0620571,303.096
Alpha_0,236.1,-0.0386185,303.181
Alpha_0,236,-0.105046,303.263
Alpha_0,235.9,-0.140589,303.344
Alpha_0,235.8,-0.146313,303.429
Alpha_0,235.7,-0.179024,303.509
Alpha_0,235.6,-0.17687,303.594
Alpha_0,235.5,-0.187112,303.681
Alpha_0,235.4,-0.231493,303.771
Alpha_0,235.3,-0.223568,303.857
Alpha_0,235.2,-0.216357,303.939
Alpha_0,235.1,-0.206555,304.028
Alpha_0,235,-0.196762,304.12
Alpha_0,234.9,-0.209451,304.206
Alpha_0,234.8,-0.155108,304.293
Alpha_0,234.7,-0.115581,304.381
Alpha_0,234.6,-0.135199,304.468
Alpha_0,234.5,-0.14954,304.554
Alpha_0,234.4,-0.156018,304.642
Alpha_0,234.3,-0.143152,304.729
Alpha_0,234.2,-0.139041,304.817
Alpha_0,234.1,-0.0779354,304.904
Alpha_0,234,-0.105076,304.99
Alpha_0,233.9,-0.19222,305.079
Alpha_0,233.8,-0.212398,305.171
Alpha_0,233.7,-0.180708,305.259
Alpha_0,233.6,-0.193146,305.347
Alpha_0,233.5,-0.218268,305.438
Alpha_0,233.4,-0.206034,305.528
Alpha_0,233.3,-0.163559,305.62
Alpha_0,233.2,-0.0977451,305.711
Alpha_0,233.1,-0.0388378,305.799
Alpha_0,233,-0.106443,305.892
Alpha_0,232.9,-0.184613,305.985
Alpha_0,232.8,-0.179144,306.079
Alpha_0,232.7,-0.172631,306.174
Alpha_0,232.6,-0.143486,306.264
Alpha_0,232.5,-0.130286,306.353
Alpha_0,232.4,-0.168719,306.442
Alpha_0,232.3,-0.186483,306.531
Alpha_0,232.2,-0.210166,306.62
Alpha_0,232.1,-0.252011,306.711
Alpha_0,232,-0.234993,306.803
Alpha_0,231.9,-0.232,306.899
Alpha_0,231.8,-0.219448,306.991
Alpha_0,231.7,-0.18035,307.085
Alpha_0,231.6,-0.142021,307.177
Alpha_0,231.5,-0.12607,307.265
Alpha_0,231.4,-0.220641,307.351
Alpha_0,231.3,-0.17548,307.44
Alpha_0,231.2,-0.17561,307.533
Alpha_0,231.1,-0.166153,307.623
Alpha_0,231,-0.196175,307.716
Alpha_0,230.9,-0.167544,307.802
