cycle,time,temp,A14,A16,C14,C16,E14,E16,G14,G16,I14,I16,K14,M14,O14
1,0,29.9,-3,8,6,4,-3,6,-1,4,12,6,-1,2,2
2,10.7,29.9,18,8,6,6,8,4,8,6,12,0,16,0,-1
3,21.4,30.2,12,-1,12,-1,6,8,0,8,6,-1,2,6,4
4,32.2,30.3,4,2,6,2,10,2,2,4,8,0,2,2,4
5,42.9,30.2,10,2,12,6,0,2,4,2,12,4,2,0,-3
6,53.6,30.2,8,2,4,12,10,-1,2,2,4,6,6,18,6
7,64.3,30.2,-1,4,0,12,20,10,6,12,6,8,12,8,-1
8,75.1,30.1,-1,16,4,0,24,6,6,8,6,0,2,0,12
9,85.8,29.9,4,0,8,-1,10,2,-1,6,2,16,0,6,6
10,96.5,29.7,-1,12,6,12,12,12,-1,2,4,8,0,10,2
11,107.2,29.8,2,0,2,6,8,2,4,2,-3,8,24,4,8
12,117.9,30.1,2,6,10,6,22,8,2,2,6,6,6,-1,0
13,128.7,30.2,6,4,4,4,2,6,-1,14,16,2,0,12,10
14,139.4,30.3,-3,6,10,-1,4,14,8,0,4,4,8,-3,4
15,150.1,30.3,-1,2,2,2,2,8,-1,-1,0,2,2,4,8
16,160.8,30.2,6,4,8,0,12,2,2,12,2,2,8,2,4
17,171.5,30,6,6,8,-5,8,0,8,6,6,4,0,12,6
18,182.3,29.9,4,-3,0,4,6,2,-1,0,2,8,4,2,-1
19,193,29.7,6,-1,2,2,2,12,-1,10,4,2,6,12,6
20,203.7,29.8,4,2,6,2,10,14,-1,2,8,4,14,12,0
21,214.4,29.9,2,2,4,0,4,6,12,2,4,0,4,-3,2
22,225.2,30.3,2,-1,6,2,2,8,8,0,2,10,2,2,2
23,235.9,30.5,10,12,6,6,0,-1,-1,2,12,8,2,-1,4
24,246.6,30.3,10,6,2,10,10,-1,6,14,2,8,18,18,6
25,257.3,30.2,-1,0,6,2,6,2,12,-1,4,12,6,4,6
26,268,30,2,2,10,8,0,0,4,0,4,10,6,2,8
27,278.8,29.9,10,6,8,8,4,2,2,8,-3,0,0,2,2
28,289.5,29.9,-1,0,8,8,12,10,12,2,10,2,2,4,12
29,300.2,29.9,2,2,-3,-1,8,12,4,10,0,10,14,14,20
30,310.9,30.1,2,12,16,4,6,2,16,6,6,6,6,4,18
31,321.7,30.2,12,6,30,10,2,2,46,0,-5,0,36,2,82
32,332.4,30.5,10,4,64,0,8,2,84,18,-1,0,38,18,170
33,343.1,30.6,8,12,128,14,0,2,162,4,0,0,90,8,296
34,353.8,30.2,12,2,172,10,22,6,330,24,12,6,152,30,592
35,364.5,30,10,6,316,32,18,4,580,68,4,4,254,72,988
36,375.2,30,40,8,572,56,42,10,1058,110,24,2,502,144,1632
37,386,30,46,12,906,122,64,6,1708,212,30,8,866,164,2742
38,396.7,29.7,48,22,1354,266,100,32,2648,400,34,2,1458,286,4229
39,407.4,29.7,86,46,1902,508,156,34,3636,618,64,2,2130,524,6314
40,418.1,29.9,142,72,2918,704,228,76,5748,1084,134,-1,3310,656,8849
41,428.9,30.2,258,122,4115,1318,336,124,7786,1784,174,2,4755,958,12567
42,439.6,30.3,320,210,5794,1980,496,178,10565,2720,250,8,6521,1332,16491
43,450.3,30.5,502,304,7479,2920,710,266,13989,4151,344,2,9131,1800,22100
44,461,30.6,586,424,10141,4283,932,408,17844,5906,530,10,11928,2518,28734
45,471.7,30.3,850,596,12721,5754,1360,610,23105,8170,676,14,15711,3276,35895
46,482.5,30,986,852,16026,8122,1764,934,28708,11076,1012,12,20204,3913,44461
47,493.2,29.9,1312,1022,20210,10736,2188,1316,34596,14555,1240,10,25215,5269,54268
48,503.9,29.8,1736,1412,23976,14154,2886,1710,42642,18586,1528,18,31128,6212,64942
49,514.6,29.9,2040,1900,29242,17768,3422,2264,50403,24243,2090,10,38084,7646,76590
50,525.4,29.8,2502,2290,34337,22040,4457,2854,58368,29389,2560,16,45464,9298,89264
51,536.1,30.2,3106,2790,41697,27328,5388,3813,69067,35828,3244,26,53625,11012,103935
52,546.8,30.5,3558,3594,48099,33047,6312,4421,79376,43715,3863,28,61852,12799,118663
53,557.5,30.5,4189,4327,55548,39327,7840,5806,90301,52396,4741,30,72113,15076,134161
54,568.3,30.5,5039,5125,63852,46796,9336,6939,102305,62118,5754,34,83198,17682,152775
55,579,30.2,6098,6218,72301,54995,10668,8427,115479,71998,6579,54,95776,20572,169167
56,589.7,30,7227,7415,82654,64138,12673,9812,129294,83206,7542,32,107530,23386,188037
57,600.4,29.9,8252,8641,92659,73400,14873,11597,143705,95233,9013,32,120431,26094,208108
58,611.2,29.9,9324,9782,103216,84109,17042,13669,159362,108239,10367,42,135109,30074,227570
59,621.9,29.7,10624,11220,114960,94623,19320,15998,174128,120933,11751,60,149347,33539,248603
60,632.6,29.9,12144,12701,126322,106438,22102,18159,191155,135472,13669,46,164570,37549,270507
61,643.4,30.2,13575,14436,139547,119269,24303,20507,208301,150478,15230,80,179474,41858,292530
62,654.1,30.3,15260,16884,151671,132272,27991,23366,225226,165983,17325,76,196826,46376,315632
63,664.8,30.5,17070,18329,166296,144660,30927,26299,242001,181144,19659,78,214239,50393,336061
64,675.5,30.3,18853,21159,180206,160917,34612,29616,260081,199442,21406,108,230896,56195,358685
65,686.3,30.2,21456,23461,195477,174661,37760,32480,283016,216045,24091,100,248537,60579,385048
66,697,30,23563,25217,212082,189579,41505,36415,302160,234589,26606,94,268920,66270,407896
67,707.7,30,26150,28704,225790,207712,45583,39930,320645,253141,29308,120,289917,72216,431305
68,718.5,29.8,29015,31634,243138,224582,49563,43721,343432,272128,31986,166,309010,78517,455130
69,729.2,29.9,31436,34775,260788,241877,54459,48476,364250,290698,35203,118,330258,85054,481534
70,739.9,29.9,33535,38179,279134,258413,58967,52583,385223,310484,38388,130,352530,90884,505952
71,750.7,30.2,37453,40801,296578,277514,64718,57080,405722,331362,41972,128,371334,99171,531021
72,761.4,30.5,40393,43888,312793,297001,68618,61602,427550,350828,44953,166,391050,104773,555581
73,772.1,30.6,43928,47767,331301,316849,74380,67122,451205,370906,48756,132,414766,111763,579243
74,782.8,30.5,47636,52023,350319,334057,78982,72083,472987,392321,52307,174,433861,119725,604279
75,793.6,30.3,51467,56060,371372,353339,85252,78060,494914,414796,56850,148,457077,128813,631682
76,804.3,30,54391,59701,388162,374527,90959,83437,517842,433967,60502,188,482106,136226,655084
77,815,29.9,59685,63880,409167,393930,97131,88373,541476,457748,64493,210,506371,143713,681642
78,825.8,29.9,64171,68400,431324,416625,102476,94816,567041,480112,69767,206,530599,153053,709282
79,836.5,29.9,67942,73042,450049,437683,109839,101500,587355,501142,74328,274,554948,161660,733901
80,847.2,29.9,72707,77732,470091,458509,117286,108347,613741,525277,79692,234,578540,171564,756910
81,858,30.2,78066,83178,493457,480796,124197,114714,636533,548918,83882,232,598703,180805,780104
82,868.7,30.5,83220,88154,510573,499118,130797,120447,660345,569905,88314,230,624945,190344,805599
83,879.4,30.5,88806,93976,533347,521491,138808,128813,682251,593013,93328,302,647914,198369,830845
84,890.2,30.5,93356,99479,557397,544772,145897,135503,703675,616070,99621,274,670549,209467,852507
85,900.9,30.3,98749,105597,575796,569420,153836,142564,727902,638755,105504,306,693511,220521,873885
86,911.6,30.2,104970,111221,598362,589762,160631,150742,751225,662809,110177,258,721942,231354,896591
87,922.3,30,110902,117579,620974,611973,169901,158910,774666,684095,118108,330,742997,241945,917251
88,933.1,29.9,116827,123517,640482,635168,176959,168246,795761,708710,123114,254,767397,252389,936717
89,943.8,29.8,122888,129129,664145,659045,186491,175770,817453,730134,129302,334,791112,263233,956213
90,954.5,29.9,129133,136789,685798,681767,194869,184144,840226,752798,136330,338,816269,272512,971695
91,965.3,30.2,136096,143576,707486,706026,204963,192497,861452,772002,143350,294,838769,283920,980133
92,976,30.3,142568,149144,727012,724945,213516,199714,878513,793547,149778,314,857579,295466,991075
93,986.7,30.5,150188,156624,747447,747141,222471,210635,893987,811977,157117,304,876705,308281,1000414
94,997.5,30.3,156886,163029,767853,767559,231702,218813,915148,835498,163756,328,897598,316964,1004517
95,1008.2,30.3,162736,171597,785697,789738,241563,228499,930357,852660,170730,392,916831,327979,1009594
96,1018.9,30.2,171890,177086,807450,811672,250924,237750,948824,873204,177876,358,933678,341118,1010145
97,1029.6,29.9,179275,185569,828773,828640,260222,248340,959879,890369,185604,354,949572,352811,1008985
98,1040.4,29.9,185355,193533,841129,850620,270925,257335,971610,906105,193027,350,964570,364376,1004343
99,1051.1,29.7,194941,202636,856965,869160,282361,266372,979771,923425,201446,438,973414,375157,996107
100,1061.8,29.9,201763,211025,875850,890267,291727,277393,991188,937053,208971,368,984958,385082,985649
101,1072.6,30,210060,219005,892560,906810,302074,288007,995393,947658,217392,402,994921,396426,973180
102,1083.3,30.2,218438,227781,903373,923684,312682,297322,997437,956897,225293,388,996196,406503,957969
103,1094,30.5,226397,234473,915230,934852,322047,307717,996182,962697,233111,374,999547,416335,937495
104,1104.8,30.6,234239,243287,924193,946662,333435,318170,989765,963391,240576,424,1001013,424947,912642
105,1115.5,30.6,242519,250710,932221,954543,344549,326606,983769,964442,250679,438,997260,435151,889614
106,1126.2,30.3,250006,260031,936114,964124,354531,339425,973484,967100,258946,436,992604,444337,861524
107,1137,30,257347,268571,941491,968701,365421,349221,958558,963134,266675,374,989345,453886,836270
108,1147.7,29.9,264636,275092,941004,975791,374710,361100,946384,958435,273048,406,979474,460949,807079
109,1158.4,30,274065,284540,940619,976299,385578,371145,925240,948656,282307,354,969437,472505,776843
110,1169.2,29.9,281441,292236,939151,973912,395339,381285,903033,940683,289744,404,953460,480833,738886
111,1179.9,29.8,289057,300128,933519,973802,406067,390152,877707,924842,298509,386,941461,489535,710409
112,1190.6,30,297087,310397,928139,968256,416954,401521,850721,907199,304691,364,921200,495773,672026
113,1201.4,30.3,301534,318827,916566,957337,425317,410887,823129,885988,313830,352,900085,502811,634967
114,1212.1,30.5,311656,325645,905885,946466,434086,419473,789100,862332,320777,402,877631,504774,599769
115,1222.8,30.3,318620,331708,891945,930754,444124,428877,752956,837370,328050,408,852660,514981,563315
