cycle,time,temp,A3,A5,C3,C5,E3,E5,G3,G5,I3,I5,K3,K5,M3,M5,O3,O5
1,0,30.1,6,6,-5,-1,2,2,-5,-9,6,2,-1,6,18,10,2,2
2,10,29.9,-1,-5,6,-5,2,6,-5,-1,10,-5,-1,-1,-9,6,-1,-1
3,20,29.8,-5,-1,-1,-1,-5,2,2,-5,-9,14,10,-5,-1,-1,-5,-9
4,30,29.9,-5,10,-9,6,10,6,-1,6,-9,-1,-1,-5,-1,14,2,2
5,40,29.9,6,-5,-1,-5,2,2,-1,6,-9,-5,-1,-1,2,-1,-1,-1
6,50,30.1,6,-9,-1,-5,-1,-5,14,2,-5,6,-9,2,2,-1,-5,-1
7,60,30.3,10,-1,6,-1,6,-5,-5,-1,-5,26,-1,14,2,6,6,-1
8,70,30.5,-1,-1,-1,-1,-5,2,-1,-1,-5,2,10,2,-5,6,-5,6
9,80,30.3,2,-1,-9,6,10,2,2,10,-5,-5,18,-5,-5,-1,-9,-5
10,90,30.2,-1,-1,2,6,6,6,-5,-1,-1,-1,-5,-1,-1,-5,6,-1
11,100,29.9,-5,-1,-1,-1,-1,-5,-1,2,2,2,-9,6,6,-5,-1,-5
12,110,29.9,-5,-5,10,2,-5,18,-9,26,2,10,10,6,10,-9,-5,-5
13,120,29.9,-5,2,-5,-9,-1,2,2,-9,-1,-1,2,-5,-5,-5,-5,-1
14,130,30.1,2,-1,14,10,2,-9,-9,-1,-1,-1,-1,-1,6,-1,10,6
15,140,30.3,-9,10,6,-5,2,-5,-1,10,-5,2,-5,6,10,10,2,2
16,150,30.5,10,2,-1,6,-1,-5,10,-1,-5,2,6,6,6,-1,-5,-1
17,160,30.3,6,10,-1,-5,-1,-5,-5,-5,2,-9,-1,6,2,-5,-5,-1
18,170,30.2,-1,-1,2,2,-5,-1,-1,-5,-5,-1,-1,6,2,2,-9,-9
19,180,30,-5,-9,10,6,-5,-9,-9,-9,-5,-1,6,6,2,-5,-1,6
20,190,29.9,2,10,2,-1,2,-5,-9,-1,-1,-5,-5,2,2,14,-1,2
21,200,29.8,2,-5,2,-1,2,2,-1,2,-5,-1,-5,10,-5,-5,2,-1
22,210,29.9,-5,-5,-5,-5,-9,-1,-1,-9,14,-1,-5,10,-5,-5,6,-1
23,220,30.2,-5,-5,-5,-5,2,22,2,-5,-5,-1,6,-5,-5,10,-5,2
24,230,30.3,2,-1,-9,-5,-1,-5,-5,2,6,-5,6,14,-1,-1,10,2
25,240,30.3,-1,2,-1,-9,-5,-9,-1,-9,-5,6,-1,-1,-1,2,2,-1
26,250,30.5,6,-5,-1,6,-5,-1,6,2,-9,-1,10,6,-1,2,-1,2
27,260,30.3,14,-1,-5,6,6,2,6,-5,-5,-5,2,2,-5,6,-5,-5
28,270,30.1,-1,-1,-1,2,6,2,10,-5,-1,2,10,10,2,10,-1,-1
